"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature"
0.804,0.755,6,-4.712,0,0.0847,0.00228,0.0027,0.356,0.721,137.998,219196,4
0.61,0.969,0,-3.552,1,0.0556,0.00118,0.0743,0.184,0.236,127.976,180000,4
0.779,0.666,5,-7.361,1,0.0482,0.194,0.000556,0.0576,0.507,123.024,161322,4
0.519,0.764,2,-5.797,1,0.0415,0.398,0.000202,0.0843,0.354,97.012,298187,4
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4
0.507,0.752,4,-4.812,0,0.0356,0.047,0,0.219,0.209,133.001,263827,4
0.681,0.835,5,-4.426,1,0.0642,0.0574,0,0.223,0.581,132.059,182507,4
0.584,0.428,5,-14.283,1,0.0293,0.829,0.848,0.107,0.593,111.57,139067,4
0.835,0.833,1,-4.364,0,0.284,0.00247,0,0.171,0.586,103.358,207733,4
0.542,0.76,0,-10.175,1,0.0546,0.291,6.62e-06,0.268,0.633,170.182,233333,4
0.556,0.225,7,-11.334,1,0.0358,0.8,2.47e-06,0.106,0.475,156.011,210880,3
0.181,0.948,0,-3.106,1,0.0625,2.8e-06,0.771,0.875,0.456,100.759,174196,4
0.838,0.88,2,-4.941,1,0.0458,0.00113,0.00809,0.101,0.354,123.024,215481,4
0.401,0.14,0,-22.696,1,0.0338,0.99,0.929,0.078,0.326,130.037,283213,4
0.986,0.769,8,-6.699,1,0.302,0.794,0,0.189,0.958,117.945,143053,4
0.717,0.916,11,-6.047,1,0.0344,0.543,0.000156,0.0854,0.964,133.144,261773,4
0.603,0.321,2,-11.489,1,0.0599,0.881,0,0.34,0.844,143.104,155600,4
0.733,0.543,1,-10.002,1,0.0445,0.00213,0.000169,0.0703,0.118,106.019,293543,4
0.578,0.825,1,-6.107,1,0.322,0.000986,0,0.176,0.283,130.089,188013,4
0.578,0.875,1,-3.468,1,0.135,0.0245,0,0.167,0.607,169.998,240867,4
0.533,0.889,1,-4.963,0,0.0951,0.164,0.0011,0.089,0.701,106.95,180918,4
0.847,0.609,4,-6.335,1,0.416,0.0178,0,0.0707,0.625,128.006,226547,4
0.6,0.549,4,-10.355,0,0.125,0.809,4.26e-06,0.14,0.471,92.439,79595,4
0.477,0.776,1,-5.056,1,0.0349,0.0155,0.00314,0.203,0.429,131.004,276720,4
0.352,0.431,5,-7.23,1,0.0326,0.175,6.21e-06,0.105,0.189,128.572,261000,4
0.602,0.714,5,-3.107,1,0.0273,0.401,0,0.172,0.825,122.058,195053,4
0.472,0.385,0,-8.547,1,0.0426,0.924,0.784,0.0902,0.439,139.736,258293,3
0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,220627,4
0.365,0.371,7,-7.093,1,0.0672,0.063,1.83e-06,0.302,0.235,186.031,227102,3
0.375,0.504,6,-6.688,1,0.0366,0.228,0,0.208,0.384,176.318,180520,4
0.859,0.756,8,-3.36,0,0.0643,0.168,4.65e-05,0.163,0.91,102.033,195613,4
0.567,0.423,8,-8.845,1,0.0409,0.00883,2.93e-06,0.0947,0.135,138.033,212903,4
0.692,0.886,1,-2.519,1,0.0519,0.284,0,0.341,0.879,100.03,211013,4
0.378,0.691,10,-5.308,0,0.461,0.0203,0,0.4,0.226,75.162,372707,4
0.573,0.627,8,-7.02,1,0.431,0.147,1.67e-06,0.111,0.29,170.1,254200,4
0.631,0.5,0,-8.154,1,0.029,0.517,0,0.0799,0.694,79.969,58671,3
0.588,0.54,11,-6.27,1,0.0245,0.31,0,0.297,0.393,102.019,128404,3
0.759,0.917,0,-4.023,1,0.055,0.189,0,0.616,0.961,126.027,202000,4
0.502,0.535,2,-7.896,1,0.0243,0.704,5.09e-05,0.488,0.429,98.278,259733,4
0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,294720,4
0.369,0.762,10,-8.993,1,0.0464,0.22,2.8e-05,0.579,0.644,84.957,302107,4
0.595,0.52,11,-8.185,0,0.0414,0.145,0,0.117,0.369,79.95,225813,4
0.36,0.492,1,-10.325,1,0.0431,0.811,0,0.276,0.302,135.455,344867,4
0.365,0.52,9,-6.52,1,0.0331,0.545,0,0.111,0.4,106.152,237267,4
0.438,0.177,0,-16.837,1,0.0339,0.937,0.956,0.298,0.468,74.999,191867,4
0.468,0.514,9,-8.377,1,0.0452,0.434,0,0.3,0.552,162.078,133773,4
0.175,0.277,7,-12.447,1,0.0345,0.843,0.001,0.254,0.339,138.29,167533,4
0.443,0.457,0,-14.468,1,0.0804,0.375,0,0.235,0.694,161.86,262107,3
0.66,0.629,5,-12.359,1,0.0387,0.432,7.3e-05,0.172,0.324,111.926,340867,4
0.506,0.919,5,-3.952,1,0.0366,0.116,0,0.349,0.793,164.108,186320,4
0.194,0.29,1,-10.769,1,0.0359,0.654,1.72e-06,0.0784,0.0704,69.798,334853,3
0.665,0.446,1,-11.884,1,0.0439,0.57,0.000669,0.082,0.172,141.94,230867,4
0.189,0.0343,9,-27.421,0,0.0414,0.99,0.926,0.0957,0.0416,100.968,362354,4
0.613,0.848,8,-6.972,1,0.0357,0.279,0,0.0762,0.729,132.049,172440,4
0.605,0.92,4,-2.298,0,0.0713,0.0012,0.000596,0.483,0.219,174.974,200787,4
0.728,0.741,11,-8.003,0,0.0681,0.0195,0,0.341,0.286,130.098,193846,4
0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360,4
0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8,181573,4
0.135,0.00925,0,-28.841,1,0.0405,0.878,0.788,0.0604,0.0388,69.321,483667,3
0.653,0.736,8,-8.69,1,0.0627,0.522,0,0.241,0.903,133.91,157267,4
0.624,0.68,10,-8.143,1,0.156,0.171,9.09e-06,0.0803,0.612,107.358,215787,4
0.632,0.805,4,-6.989,1,0.0262,0.108,3.13e-05,0.361,0.681,97.032,281027,4
0.596,0.92,7,-6.638,1,0.0363,0.602,1.02e-05,0.076,0.966,164.301,196587,4
0.583,0.747,4,-5.633,0,0.0834,0.293,0.00656,0.659,0.662,160.865,233893,4
0.919,0.73,1,-6.581,1,0.088,0.00194,8.51e-05,0.101,0.189,95.044,219880,4
0.389,0.396,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86,192053,3
0.655,0.949,10,-3.42,0,0.065,0.0632,0,0.298,0.776,110.99,243520,4
0.696,0.315,11,-15.067,0,0.0318,0.237,4.06e-05,0.131,0.224,112.998,323787,4
0.685,0.566,8,-7.976,1,0.0729,0.712,0,0.138,0.606,134.712,189830,4
0.631,0.678,5,-7.18,1,0.0273,0.122,7.06e-05,0.204,0.279,98.477,228067,4
0.814,0.779,11,-3.271,1,0.235,0.175,0.000671,0.0605,0.544,93.43,268005,4
0.976,0.415,9,-10.169,0,0.135,0.938,0.922,0.0908,0.838,123.052,196147,4
0.422,0.165,5,-20.931,1,0.0385,0.805,0.00613,0.271,0.643,144.367,187933,3
0.381,0.515,4,-7.537,1,0.0294,0.826,0.00027,0.0858,0.439,152.173,249493,4
0.599,0.902,2,-6.375,1,0.0373,0.00559,0.00324,0.136,0.483,152.037,233680,4
0.697,0.0933,2,-14.287,1,0.0447,0.877,0,0.113,0.213,118.818,207893,4
0.886,0.629,1,-4.404,0,0.306,0.051,7.66e-06,0.121,0.487,158.002,182491,4
